experiment,structure,K,rho,d,method,claims_target,basis,reps,seed,latent_hits,latent_coverage,latent_mcse,observed_coverage,mean_radius
exp01,matched,30,0.29,8,observed_anchor,T1,exchangeability of observed curves,4000,11972596278746370565,3694,0.9235,0.0042026108,0.90625,2.55656912
exp01,matched,30,0.29,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,11972596278746370565,3995,0.99875,0.0005586675,0.99825,3.93336664
exp01,matched,30,0.29,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,11972596278746370565,3598,0.8995,0.00475393916,0.881,2.44670477
exp01,matched,30,0.29,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,11972596278746370565,3616,0.904,0.00465789652,0.87925,2.4463977
exp01,matched,30,0.4,8,observed_anchor,T1,exchangeability of observed curves,4000,3675762174727800639,3759,0.93975,0.00376231104,0.90725,2.67290652
exp01,matched,30,0.4,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,3675762174727800639,3999,0.99975,0.000249968748,0.998,4.4311537
exp01,matched,30,0.4,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,3675762174727800639,3596,0.899,0.00476442546,0.84975,2.44975929
exp01,matched,30,0.4,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,3675762174727800639,3588,0.897,0.00480601186,0.84375,2.44642245
exp01,matched,30,0.52,8,observed_anchor,T1,exchangeability of observed curves,4000,1657199646897776247,3856,0.964,0.00294550505,0.90525,2.86495744
exp01,matched,30,0.52,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,1657199646897776247,4000,1,0,0.99925,5.15964302
exp01,matched,30,0.52,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,1657199646897776247,3646,0.9115,0.00449076135,0.7915,2.44714999
exp01,matched,30,0.52,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,1657199646897776247,3629,0.90725,0.00458659562,0.7865,2.44723945
exp01,matched,30,0.8,8,observed_anchor,T1,exchangeability of observed curves,4000,339267486346615823,3995,0.99875,0.0005586675,0.89975,4.08132118
exp01,matched,30,0.8,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,339267486346615823,4000,1,0,1,8.59082307
exp01,matched,30,0.8,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,339267486346615823,3620,0.905,0.00463613524,0.43175,2.44879271
exp01,matched,30,0.8,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,339267486346615823,3644,0.911,0.00450219391,0.43025,2.44993694
exp01,matched,100,0.29,8,observed_anchor,T1,exchangeability of observed curves,4000,1629715468767987213,3703,0.92575,0.00414538712,0.90775,2.50892011
