pool,essround,min_n,K,n_countries,n_split_countries,rho_hat,rho_lcb,D,delta_ucb,gate_A,gate_B,branch,K_floor,D_sampling_only,hetero_share_of_D2,design_var_spread,scale_ratio
all countries,9,40,275,27,5,0.613871,0.563744,0.204574,0.0253914,True,False,conservative,0.0854358,0.161963,0.373199,12152.6,0.817673
all countries,9,60,229,27,5,0.617348,0.564625,0.32657,0.0368955,True,False,conservative,0.0936586,0.239612,0.461652,12152.6,0.812788
all countries,9,80,197,27,5,0.595898,0.541504,0.300947,0.0344793,True,False,conservative,0.101015,0.239266,0.367907,5603.52,0.828532
all countries,9,100,171,27,5,0.586585,0.530592,0.356334,0.0397023,True,False,conservative,0.108465,0.275601,0.401799,5603.52,0.833598
all countries,9,150,114,27,5,0.631779,0.560687,0.594297,0.0621422,True,False,conservative,0.133038,0.472135,0.368862,3817.66,0.807078
all countries,10,40,290,28,4,0.655116,0.5982,0.233883,0.0281552,True,False,conservative,0.083189,0.153173,0.57109,14194.4,0.800965
all countries,10,60,250,28,4,0.643681,0.589038,0.187894,0.0238184,True,False,conservative,0.0896221,0.158955,0.284314,3495.42,0.798075
all countries,10,80,213,28,4,0.623284,0.566784,0.17201,0.0223205,True,False,conservative,0.0971286,0.156996,0.180128,1910.26,0.813531
all countries,10,100,188,28,4,0.617796,0.55842,0.190579,0.0240716,True,False,conservative,0.103418,0.178458,0.168565,1463.3,0.819403
all countries,10,150,115,26,4,0.592291,0.518852,0.236264,0.0283797,True,False,conservative,0.132453,0.214236,0.177776,1442.67,0.849557
all countries,11,40,285,27,6,0.560712,0.517733,0.162678,0.0214406,True,False,conservative,0.0839181,0.147472,0.239372,7234.44,0.845674
all countries,11,60,233,27,6,0.547351,0.501017,0.167601,0.0219048,True,False,conservative,0.0928477,0.151423,0.218975,7234.44,0.856024
all countries,11,80,196,27,6,0.552354,0.501832,0.185795,0.0236205,True,False,conservative,0.101274,0.16989,0.252588,7234.44,0.854785
all countries,11,100,162,27,6,0.531243,0.479044,0.198963,0.0248622,True,False,conservative,0.111456,0.176546,0.21264,7234.44,0.866889
all countries,11,150,106,26,6,0.503089,0.443045,0.214568,0.0263338,False,False,anchor,0.138013,0.188107,0.392749,7234.44,0.886355
clustered PSU only,9,40,217,20,5,0.597041,0.543314,0.205926,0.0255188,True,False,conservative,0.096225,0.16387,0.366746,12152.6,0.830377
clustered PSU only,9,60,178,20,5,0.603191,0.546126,0.326336,0.0368735,True,False,conservative,0.106299,0.235181,0.480633,12152.6,0.823795
clustered PSU only,9,80,153,20,5,0.583314,0.524427,0.314196,0.0357287,True,False,conservative,0.114708,0.248442,0.374756,5489.31,0.837805
clustered PSU only,9,100,131,20,5,0.568828,0.508537,0.321028,0.0363729,True,False,conservative,0.124035,0.255096,0.368576,5489.31,0.845567
clustered PSU only,9,150,84,20,5,0.617308,0.538771,0.575925,0.0604098,True,False,conservative,0.15523,0.435883,0.427194,3817.66,0.819546
clustered PSU only,10,40,220,19,4,0.645282,0.58193,0.277512,0.0322694,True,False,conservative,0.0955637,0.161406,0.661722,14194.4,0.813094
clustered PSU only,10,60,191,19,4,0.629543,0.569631,0.243926,0.0291023,True,False,conservative,0.102598,0.189393,0.397148,3495.42,0.810982
clustered PSU only,10,80,160,19,4,0.611407,0.54881,0.214607,0.0263374,True,False,conservative,0.112154,0.184594,0.26014,1910.26,0.824696
clustered PSU only,10,100,138,19,4,0.606503,0.539982,0.251904,0.0298545,True,False,conservative,0.120824,0.223763,0.210946,1142.71,0.8307
clustered PSU only,10,150,79,17,4,0.581736,0.496875,0.293798,0.0338051,True,False,conservative,0.160128,0.258989,0.222921,1142.71,0.863355
clustered PSU only,11,40,234,21,6,0.53863,0.493943,0.168919,0.0220291,True,False,conservative,0.0926482,0.147095,0.2417,7234.44,0.859189
clustered PSU only,11,60,192,21,6,0.531496,0.482777,0.180712,0.0231412,True,False,conservative,0.102329,0.156041,0.254408,7234.44,0.865856
clustered PSU only,11,80,161,21,6,0.541139,0.487488,0.208966,0.0258055,True,False,conservative,0.111803,0.182059,0.317891,7234.44,0.862249
clustered PSU only,11,100,130,21,6,0.513746,0.458494,0.214999,0.0263744,False,False,anchor,0.124515,0.185688,0.254081,7234.44,0.877367
clustered PSU only,11,150,86,20,6,0.494748,0.430665,0.23091,0.0278748,False,False,anchor,0.153393,0.20752,0.26685,7234.44,0.891494
