essround,min_n,bootstrap,resample_unit,K,rho_hat,rho_lcb,D,delta_ucb,gate_A,gate_B,K_floor,D_sampling_only,hetero_share_of_D2,design_var_spread,branch,scale_ratio
9,60,Rao-Wu-Yue,"(stratum,psu)",229,0.621075,0.544198,0.157118,0.0209162,True,False,0.0936586,0.147149,0.122874,72.1938,conservative,0.811308
9,60,Rao-Wu-Yue,"(stratum,psu,region)",229,0.622897,0.545617,0.15819,0.0210174,True,False,0.0936586,0.147673,0.128554,70.6184,conservative,0.810208
9,60,m-of-m,"(stratum,psu)",229,0.566787,0.495563,0.141726,0.0194647,True,True,0.0936586,0.134701,0.0966696,68.9517,deconvolution,0.846511
9,60,m-of-m,"(stratum,psu,region)",229,0.567419,0.49654,0.142313,0.0195201,True,True,0.0936586,0.135345,0.095528,70.3689,deconvolution,0.84585
10,60,Rao-Wu-Yue,"(stratum,psu)",250,0.650719,0.569558,0.155909,0.0208022,True,False,0.0896221,0.147199,0.108615,76.1696,conservative,0.792325
10,60,Rao-Wu-Yue,"(stratum,psu,region)",250,0.646379,0.56593,0.154457,0.0206653,True,False,0.0896221,0.146247,0.10348,74.5149,conservative,0.795302
10,60,m-of-m,"(stratum,psu)",250,0.591227,0.519993,0.137475,0.0190639,True,True,0.0896221,0.132858,0.0660408,79.1492,deconvolution,0.830508
10,60,m-of-m,"(stratum,psu,region)",250,0.594265,0.522875,0.137961,0.0191097,True,True,0.0896221,0.13344,0.0644691,78.2598,deconvolution,0.82843
9,40,Rao-Wu-Yue,"(stratum,psu)",275,0.623534,0.547548,0.141427,0.0194365,True,True,0.0854358,0.134586,0.0944043,96.654,deconvolution,0.811206
9,40,Rao-Wu-Yue,"(stratum,psu,region)",275,0.621753,0.546345,0.140069,0.0193085,True,True,0.0854358,0.133628,0.0898586,101.39,deconvolution,0.812131
9,40,m-of-m,"(stratum,psu)",275,0.561257,0.493833,0.12505,0.0178922,True,True,0.0854358,0.121302,0.0590518,85.5529,deconvolution,0.849621
9,40,m-of-m,"(stratum,psu,region)",275,0.557834,0.491447,0.124102,0.0178029,True,True,0.0854358,0.120642,0.0549843,87.6835,deconvolution,0.851197
10,40,Rao-Wu-Yue,"(stratum,psu)",290,0.657725,0.567073,0.152591,0.0204893,True,False,0.083189,0.134762,0.236209,97.6179,conservative,0.796506
10,40,Rao-Wu-Yue,"(stratum,psu,region)",290,0.657922,0.565184,0.153761,0.0205997,True,False,0.083189,0.134187,0.254374,99.8172,conservative,0.798032
10,40,m-of-m,"(stratum,psu)",290,0.588495,0.509323,0.129893,0.0183489,True,True,0.083189,0.120316,0.157478,100.821,deconvolution,0.839697
10,40,m-of-m,"(stratum,psu,region)",290,0.592088,0.511847,0.130719,0.0184268,True,True,0.083189,0.120928,0.163062,101.461,deconvolution,0.83795
