essround,min_n,K,rho_hat,branch,r_anchor,r_conservative,r_correction,corr_over_anchor,cons_over_anchor,ceiling
9,40,275,0.624376,deconvolution,0.189542,0.308273,0.152615,0.80518,1.62641,0.218876
9,60,229,0.624835,conservative,0.154295,0.257975,0.123631,0.801264,1.67196,0.219243
9,80,197,0.611697,conservative,0.147728,0.234658,0.118344,0.801094,1.58844,0.208908
9,100,171,0.588837,conservative,0.13157,0.212694,0.114462,0.869974,1.61659,0.191749
9,150,114,0.649719,conservative,0.109617,0.182539,0.0855351,0.78031,1.66525,0.239825
10,40,290,0.655371,conservative,0.179864,0.30515,0.141392,0.786104,1.69656,0.244693
10,60,250,0.646213,conservative,0.157637,0.261921,0.124666,0.790838,1.66154,0.236843
10,80,213,0.625922,conservative,0.143804,0.247109,0.113951,0.792407,1.71838,0.220115
10,100,188,0.608754,conservative,0.143804,0.236122,0.114442,0.795819,1.64197,0.206641
10,150,115,0.591997,conservative,0.116374,0.20852,0.100795,0.866127,1.79181,0.19406
11,40,285,0.550957,deconvolution,0.191141,0.306739,0.162071,0.847914,1.60478,0.165466
11,60,233,0.538639,deconvolution,0.188431,0.283044,0.159894,0.848557,1.50212,0.157463
11,80,196,0.532959,anchor,0.170426,0.253672,0.152567,0.895211,1.48846,0.153859
11,100,162,0.512019,anchor,0.166315,0.238858,0.141762,0.852372,1.43618,0.141026
11,150,106,0.49226,anchor,0.149127,0.212748,0.129792,0.870342,1.42662,0.129552
