K,d_over_A,nu_per_pop,slog_a,reps,nu_total,t_true,m,nominal,cv_a,mc_se_95,ratio_level,sep_AU_level,sep_vL_level,ratio_contain,sep_contain,empty_rate,Dhat_zero_rate,cov_oracle,cov_ratio,cov_sep,cov_unc,w_oracle,w_ratio,w_sep,w_unc,ratio_over_oracle,sep_over_oracle,ratio_over_sep,ratio_over_unc,sep_over_unc,available,captured_ratio,captured_sep
60,0.5,8,0.5,20000,480.0,0.5,58,0.9508196721311475,0.4307013718205576,0.0015411035007422442,0.95025,0.9993,0.97325,0.95025,1.0,0.0,0.0,0.952,0.96085,0.9775,0.98245,2.028356999944195,2.1606387814366963,2.406400509438192,2.493210156910654,1.062486105720769,1.1867116375318163,0.896553600138973,0.8652616280126153,0.9648701867038002,0.22917718970538625,0.7273458767816434,0.18529571912527865
60,0.5,8,1.2,20000,480.0,0.5,58,0.9508196721311475,1.3135861592485822,0.0015411035007422442,0.9471,0.9986,0.9764,0.9471,1.0,0.0,0.0,0.95075,0.95885,0.97795,0.9845,2.0238883981201887,2.1323245056950033,2.392599329826617,2.5163212213327073,1.0516084269170747,1.184338708122362,0.8929086051379403,0.8503788044007208,0.9517438077530085,0.2433102653633945,0.7878904663558061,0.24237184219480398
60,0.5,16,0.5,20000,960.0,0.5,58,0.9508196721311475,0.5158427881536312,0.0015411035007422442,0.94995,0.99865,0.9753,0.94995,1.0,0.0,0.0,0.951,0.96,0.977,0.9834,2.025224195190553,2.152716253485265,2.3697884682436627,2.4897304967488965,1.060239834226444,1.1702269075004288,0.9073131972479287,0.8636265967106239,0.951462328785114,0.22936043459358224,0.7373573418048901,0.25781921453861806
60,0.5,16,1.2,20000,960.0,0.5,58,0.9508196721311475,1.3300913306700708,0.0015411035007422442,0.95035,0.99795,0.97565,0.95035,0.99995,0.0,0.0,0.95085,0.958,0.9753,0.98265,2.028093353811897,2.1329523831730635,2.3582954052849234,2.523693367272732,1.0497536607991051,1.1643317042585297,0.9059304595245782,0.8483424110332791,0.935669111898427,0.24436745602924614,0.7963981718042251,0.3275221384681341
60,1.0,8,0.5,20000,480.0,1.0,58,0.9508196721311475,0.5467275163332213,0.0015411035007422442,0.9525,0.9999,0.97575,0.9525,1.0,0.0,0.0,0.9527,0.96815,0.99015,0.9935,2.0289847449248657,2.274322400150528,2.73182682271054,2.8939369697544293,1.116043580781649,1.3477201626504685,0.8306709871758537,0.7844951072841523,0.943806221364812,0.4262980424042533,0.7277876761357347,0.18432615667343452
60,1.0,8,1.2,20000,480.0,1.0,58,0.9508196721311475,1.703084398451386,0.0015411035007422442,0.9519,0.99965,0.97485,0.9519,1.0,0.0,0.0,0.95075,0.96185,0.9868,0.9926,2.0271633958527504,2.196973656235813,2.674715390458479,2.951270471960317,1.0808080561308855,1.3228537442167505,0.8264635986127327,0.7528349013877451,0.9099481844888132,0.45586215595552915,0.822735765460714,0.2917733134920593
60,1.0,16,0.5,20000,960.0,1.0,58,0.9508196721311475,0.6704506330269723,0.0015411035007422442,0.95085,0.9998,0.9757,0.95085,1.0,0.0,0.0,0.9491,0.96585,0.9877,0.9937,2.023689698283453,2.2577653514188807,2.661142278509964,2.8915404084448237,1.1109489104808898,1.3155323057049086,0.8469891520391444,0.7800980337228609,0.9202575744607199,0.4288457419620728,0.7412848033111585,0.264228894377563
60,1.0,16,1.2,20000,960.0,1.0,58,0.9508196721311475,1.9847200510148377,0.0015411035007422442,0.95015,0.9992,0.97795,0.95015,1.0,0.0,0.0,0.9507,0.96285,0.984,0.9928,2.0254558492761245,2.1916880934405873,2.574104976665209,2.9073628666793576,1.079061583682432,1.2732033147670394,0.8545638257522176,0.7606860591975751,0.8893260583057879,0.43541162238535924,0.8184210535095481,0.37254014196882884
200,0.5,8,0.5,20000,1600.0,0.5,191,0.9502487562189055,0.6248699860971483,0.0015411035007422442,0.9499,1.0,0.97435,0.9499,1.0,0.0,0.0,0.9539,0.96015,0.9803,0.98425,1.9784862731674882,2.051014242515938,2.3367375083224737,2.430883225168626,1.0357540716932958,1.1814175216158218,0.8774974449548482,0.8435592386294831,0.961299310179619,0.2286581201682365,0.8436352417006248,0.2065992605801935
200,0.5,8,1.2,20000,1600.0,0.5,191,0.9502487562189055,2.164472823665115,0.0015411035007422442,0.9472,0.99995,0.97615,0.9472,1.0,0.0,0.0,0.95015,0.9554,0.97675,0.98335,1.979049702657455,2.031188530729547,2.2944915581463734,2.414448422604716,1.0257419554258098,1.16013782278663,0.8859204756736792,0.8423212995757756,0.9507650737457923,0.22000393388938666,0.8829932039362881,0.27211382107765475
