K,d_over_A,nu_per_pop,sig_mis,reps,grid,m,nominal,w_crit,Cg_set_cov,Cg_halfwidth,tL_argmin_at_endpoint,env_ge_grid,mc_se,oracle_cov,oracle_w,uncorrected_cov,uncorrected_w,uncorrected_contain,uncorrected_over_oracle,sep_bonf_cov,sep_bonf_w,sep_bonf_contain,sep_bonf_over_oracle,Cg_ratio_cov,Cg_ratio_w,Cg_ratio_contain,Cg_ratio_over_oracle,Cg_comp_cov,Cg_comp_w,Cg_comp_contain,Cg_comp_over_oracle,Cg_ratio_env_cov,Cg_ratio_env_w,Cg_ratio_env_contain,Cg_ratio_env_over_oracle,captured_sep_bonf,captured_Cg_ratio,captured_Cg_ratio_env,captured_Cg_comp,env_over_grid,ratio_over_comp,env_over_comp
60,0.5,8,0.0,10000,31,58,0.9508196721311475,2.252772931496115,0.9775,0.22476637981129316,1.0,1.0,0.0021794494717703367,0.947,2.0210940795732375,0.9826,2.493322458417253,1.0,1.236329140795187,0.977,2.3984162949604593,1.0,1.187912569178376,0.9616,2.199275216399012,0.9849,1.0864479724312117,0.9655,2.2475413212379762,0.9988,1.1109885924475928,0.964,2.2201845380168677,0.9954,1.096888866042173,0.20486924064422032,0.6342051930610993,0.5900257339566052,0.5303643381677577,1.009821390920749,0.9781160478307738,0.9877479558146086
60,0.5,8,0.4,10000,31,58,0.9508196721311475,2.247229482278064,0.9705,0.2304619195946984,1.0,1.0,0.0021794494717703367,0.9513,2.02978309871283,0.9827,2.5042157349368384,1.0,1.2367739358164298,0.9779,2.401736176185075,1.0,1.1846662847593157,0.9647,2.2069810670941328,0.9381,1.086272249697812,0.9687,2.2547401524903186,0.9814,1.1104177164873468,0.9669,2.2337359594075044,0.9697,1.0996270737345475,0.22007342521650292,0.6356345161035852,0.5792312469232759,0.5336576380055897,1.0125234124737437,0.9784491270619017,0.9907236944054046
60,0.5,16,0.0,10000,31,58,0.9508196721311475,2.2490177111452794,0.9718,0.1463692798202743,1.0,1.0,0.0021794494717703367,0.9515,2.026006477555391,0.9843,2.497246336514417,1.0,1.235447049528365,0.9761,2.365248298889775,1.0,1.1681642443458378,0.9636,2.1903723328736278,0.9838,1.079314291492007,0.9669,2.231575567769623,0.998,1.1002112484352184,0.965,2.204548956739382,0.9934,1.0863811436101367,0.28576618529433484,0.6631332112639114,0.6331185980747227,0.5743788310961793,1.006684301310924,0.9811947500149921,0.9877723732277136
60,0.5,16,0.4,10000,31,58,0.9508196721311475,2.2354312352212884,0.9735,0.15654656488309454,1.0,1.0,0.0021794494717703367,0.9507,2.0271383989597687,0.9832,2.5012470731766445,1.0,1.2365384792952423,0.9775,2.371141060948052,1.0,1.1703714755541297,0.9648,2.1960320485503266,0.926,1.0820048470331773,0.968,2.23738192546044,0.9707,1.1028524058320437,0.966,2.211170333197844,0.9473,1.0895939841583726,0.2797304013209807,0.6533128678365239,0.6212287132930143,0.5651768535145375,1.0071182257053046,0.9811383600231486,0.9881369157488483
60,1.0,8,0.0,10000,31,58,0.9508196721311475,2.24779921470628,0.9763,0.19720499242797224,0.9999,1.0,0.0021794494717703367,0.9512,2.0218509617271563,0.9924,2.905455641501091,1.0,1.4421797098382558,0.9882,2.7082041049365717,1.0,1.3416365019197791,0.9721,2.3347924998605305,0.9855,1.151610742977264,0.9769,2.423257127708949,0.9983,1.1965811124655146,0.9747,2.377049483018335,0.9952,1.1727039439474085,0.22738087180719857,0.6571286750522284,0.6094258960670502,0.5554271078213389,1.0188829665694472,0.9627489952008152,0.9809765522439742
60,1.0,8,0.4,10000,31,58,0.9508196721311475,2.244330953602598,0.8901,0.2193187775073663,1.0,1.0,0.0021794494717703367,0.951,2.0297062715581413,0.994,2.934999185307934,1.0,1.451811305239362,0.9897,2.736845943766279,1.0,1.3511781162302772,0.9723,2.365032592406553,0.963,1.163242593834132,0.9775,2.4561140816520157,0.9921,1.2092506271545,0.9749,2.399089886830219,0.9805,1.1802637181575575,0.22273278211967504,0.6386929854540739,0.6010199035146834,0.5368627904438057,1.0151240156767292,0.9620892017863032,0.9767062184887482
60,1.0,16,0.0,10000,31,58,0.9508196721311475,2.2513559332987603,0.975,0.156072931473098,0.9999,1.0,0.0021794494717703367,0.9517,2.0280685071204454,0.9945,2.9122846850028954,1.0,1.44080737916787,0.9887,2.660433536223445,1.0,1.3128696502705879,0.9731,2.3332056281975873,0.9841,1.1468448321401823,0.9784,2.4104856934701493,0.9981,1.1860038309390344,0.975,2.361701357330972,0.9936,1.1610169909892873,0.29023499819534626,0.6668730173769158,0.6347225600142047,0.5780383003338978,1.0127631801163979,0.9671689297547528,0.9795556922012296
60,1.0,16,0.4,10000,31,58,0.9508196721311475,2.238244218087013,0.9594,0.1330673757857368,1.0,1.0,0.0021794494717703367,0.9484,2.0262817069682177,0.9923,2.9220766496706676,1.0,1.4477702994577049,0.987,2.6406896158564894,1.0,1.304752981570062,0.9708,2.332321754559695,0.9383,1.1491200911635155,0.9756,2.4086719551067914,0.9798,1.1876901703641525,0.9728,2.3608719545595735,0.9624,1.1634406842033826,0.31939884816132574,0.6669719020128958,0.6349898945925492,0.5808338101221446,1.0127718536111963,0.9675733014273197,0.9799729236922736
200,0.5,8,0.0,10000,31,191,0.9502487562189055,2.2404489597961375,0.973,0.11973913859731876,1.0,1.0,0.0021794494717703367,0.9502,1.9775889520787022,0.9835,2.432694416605003,1.0,1.2310721653090473,0.9787,2.331861181669911,1.0,1.17962817098032,0.9597,2.077891479174518,0.9883,1.0500555359385884,0.9627,2.1095191902681463,0.9985,1.0661815084151491,0.961,2.094856314227648,0.9973,1.0586520774977257,0.2226317231239147,0.7833770420957382,0.7461741987864201,0.7135894393570306,1.0082512698236827,0.9849287506845289,0.9930687067546357
200,0.5,8,0.4,10000,31,191,0.9502487562189055,2.244609693176221,0.8615,0.11522502243103977,1.0,1.0,0.0021794494717703367,0.9555,1.9789198616962007,0.9864,2.4371312937545664,1.0,1.2326455532206775,0.9813,2.3315893768718547,1.0,1.1788169601152099,0.9644,2.081249015461239,0.9137,1.0513309224469947,0.9671,2.113051078200015,0.9669,1.0675120460299505,0.9658,2.097650273794486,0.9467,1.059660685868011,0.23137598101610027,0.779359967399401,0.743555442852503,0.7098072793770035,1.0079635308255208,0.984863611378586,0.9927194202785157
