item,essround,min_n,K,m,nominal_rank,n_countries,zero_Dhat,nu_med,nu_q10,nu_q90,Fc_med,gamma_hat,gamma_lo,gamma_hi,t_lo,fallback,struct_R2_on_Dhat,struct_slope,skew_dev,kurt_dev,rho2_hat,w_certified,w_gaussian,w_sep_bonf,w_uncorrected,cert_over_unc,cert_over_sep,cert_over_gauss
trstprl,9,40,274,262,0.9527272727272728,29,0,29.5,8.0,208.70000000000002,0.49927738354269063,0.5404826207328707,0.43998203910325273,0.6409832023624886,0.32612504075516763,0,0.36933785791617546,-0.5404826207328707,-0.3035516765135099,1.3272466084978856,0.3811989525941315,0.17141780947603338,0.18227807796702755,0.17641747803068247,0.20090709691777153,0.8532192844645617,0.9716600157169261,0.9404192286196988
trstprl,9,60,229,219,0.9521739130434783,29,0,39.0,11.8,226.80000000000007,0.4804049062132214,0.4478588947464239,0.3435963942475926,0.5521213952452552,0.29814176522585106,0,0.2760237424755778,-0.4478588947464239,0.006503129959088878,1.0480230622152726,0.35542264205795804,0.14993323450210444,0.1682010898994782,0.15209026327819064,0.16563997507708117,0.9051754229758394,0.9858174433419137,0.8913927644090108
trstprl,9,80,197,189,0.9545454545454546,29,0,46.0,15.0,239.40000000000006,0.4804049062132214,0.4309394295991376,0.3486755996765344,0.5132032595217408,0.29893752470916296,0,0.24617960198932642,-0.4309394295991376,0.14712752966692577,1.4947519700851117,0.3404268751762867,0.14820990803156756,0.1614118792727275,0.15085969087950937,0.16563997507708117,0.8947713736529936,0.9824354482466878,0.9182094198974451
trstprl,9,100,172,165,0.953757225433526,29,0,54.0,15.100000000000001,262.80000000000007,0.4804049062132214,0.3994571952062664,0.31674355009953475,0.482170840312998,0.286127768491114,0,0.21376061127421553,-0.3994571952062664,0.04322718326839336,2.162803483116477,0.3283739315535528,0.14763319924044388,0.15616617500556873,0.1497166883502029,0.16563997507708117,0.8912896731102635,0.9860837884358922,0.9453596416456984
trstprl,9,150,115,111,0.9568965517241379,29,0,84.0,14.4,330.40000000000003,0.4448801335000725,0.28498150523828625,0.19005069124779767,0.37991231922877483,0.33656822528091107,0,0.11502201528789113,-0.28498150523828625,0.0007282431129432502,0.820000626559918,0.3939332435376434,0.10971875119285186,0.12259995530430373,0.10745765939662826,0.12270099259495199,0.8941961175085537,1.0210416996696148,0.8949330439845626
trstprl,10,40,216,207,0.9539170506912442,22,0,30.0,8.0,179.5,0.4210524218244235,0.6375925041192455,0.5343299602065824,0.7408550480319086,0.3177138785116373,0,0.6052186711593703,-0.6375925041192455,-0.4175013870095641,1.558711408808981,0.3545029708358804,0.1793716604537617,0.19735820806749665,0.1949504831449166,0.2217864542454775,0.8087584116171032,0.9200883094012424,0.9088634428238043
trstprl,10,60,183,175,0.9510869565217391,22,0,35.0,11.0,198.60000000000008,0.4210524218244235,0.6154369509652224,0.5242481716100559,0.706625730320389,0.3422771791064918,0,0.6055949430347868,-0.6154369509652224,-0.4477490347981964,1.735489218064214,0.37302256921391447,0.1470844255939669,0.17906215604551115,0.16098193387925422,0.18479465387443206,0.7959344196932815,0.9136703855495284,0.8214154729410459
trstprl,10,80,153,147,0.9545454545454546,22,0,42.0,13.0,216.20000000000005,0.4210524218244235,0.6336700890687297,0.5486837822528912,0.7186563958845682,0.3526600253256994,0,0.6089231031793737,-0.6336700890687297,-0.4501822809948912,2.3552997487299763,0.3752769719387079,0.14054311619644796,0.17018183596219585,0.15484024800144697,0.1681042707447633,0.8360472674120094,0.9076652744390761,0.8258408742732578
trstprl,10,100,133,128,0.9552238805970149,22,0,51.0,15.0,230.8,0.41727803425676424,0.6133395180087713,0.5401539518335063,0.6865250841840362,0.3745145286146755,0,0.5945860084249466,-0.6133395180087713,-0.46928602651195395,2.722058485071422,0.3757128064237459,0.1342152814518137,0.15711423979216935,0.14820527975526315,0.16347925655467985,0.8209927319245053,0.9056039142023032,0.8542528139356026
trstprl,10,150,77,75,0.9615384615384616,21,0,78.0,28.6,286.00000000000017,0.40561517535528313,0.6873372074508233,0.6045017628341526,0.770172652067494,0.29049459837579966,0,0.6530006144564604,-0.6873372074508233,-0.3886542393814192,4.4256946989648425,0.3200087976462788,0.13049938010940898,0.16098910163845348,0.14819081024388328,0.15672397055958387,0.8326702012682563,0.880617225148045,0.8106100275190193
