K,rho2,nu,sig_mis,alpha1,alpha2,obs_ratio,predicted,err_pct,conformal_cov,gaussian_cov,w_conformal,w_gaussian
40,0.2,6,0.0,0.025,0.025,0.7175169131326027,0.6870944837379034,4.427692277370121,0.9648,0.9973,2.2059632773724345,3.0415363248377045
40,0.2,6,0.5,0.025,0.025,0.717159434257865,0.6870944837379034,4.3756646620714434,0.9624,0.996,2.199034982338097,3.032025974315181
40,0.2,20,0.0,0.025,0.025,0.7156995525690945,0.6870944837379034,4.163192909885538,0.9588,0.9957,2.1744703073571836,3.006384859837336
40,0.2,20,0.5,0.025,0.025,0.7179023508582326,0.6870944837379034,4.483789034767027,0.96,0.9948,2.1819925378983296,3.005766986590322
40,0.45,6,0.0,0.025,0.025,0.7165677847860674,0.6870944837379034,4.289555766453623,0.9724,0.9974,2.4427349161026033,3.371649854122474
40,0.45,6,0.5,0.025,0.025,0.7230677207909771,0.6870944837379034,5.235558995812872,0.9756,0.9978,2.480625448329837,3.38794574926792
40,0.45,20,0.0,0.025,0.025,0.7173803292567998,0.6870944837379034,4.407813806645144,0.9715,0.9972,2.3982170718731437,3.307041189135224
40,0.45,20,0.5,0.025,0.025,0.720774999394232,0.6870944837379034,4.90187542666638,0.9737,0.9963,2.410575560392068,3.30398365151013
40,0.7,6,0.0,0.025,0.025,0.7232236001329266,0.6870944837379034,5.258245736230505,0.9903,0.9989,3.0175789668130513,4.117902412767366
40,0.7,6,0.5,0.025,0.025,0.7356851859046505,0.6870944837379034,7.07190980524337,0.9899,0.9994,3.106178207864974,4.1454982779697325
40,0.7,20,0.0,0.025,0.025,0.7215951971866488,0.6870944837379034,5.021247334290324,0.9865,0.9983,2.8630752802635673,3.913069907142264
40,0.7,20,0.5,0.025,0.025,0.7275747567173954,0.6870944837379034,5.891514767994188,0.9833,0.9979,2.9358356202342066,3.9765243036942617
120,0.2,6,0.0,0.025,0.025,0.7763867232845253,0.765254316774542,1.4547329255070407,0.9571,0.9901,2.0779642777801186,2.6674005093493682
120,0.2,6,0.5,0.025,0.025,0.7768961230394958,0.765254316774542,1.5212989995303294,0.9607,0.9918,2.0794342848269713,2.6669571321272496
120,0.2,20,0.0,0.025,0.025,0.7755041101644224,0.765254316774542,1.3393970037414604,0.9557,0.9904,2.0588954871555223,2.64546816778273
120,0.2,20,0.5,0.025,0.025,0.7760532783756436,0.765254316774542,1.4111598411646886,0.9546,0.9911,2.0642654026298137,2.650397573609561
120,0.45,6,0.0,0.025,0.025,0.7760007590270097,0.765254316774542,1.4042968483683582,0.9703,0.9942,2.2453291762058214,2.883029908179301
120,0.45,6,0.5,0.025,0.025,0.7797679125220415,0.765254316774542,1.8965715618139312,0.9733,0.9955,2.2469604612944676,2.8700777321649213
120,0.45,20,0.0,0.025,0.025,0.7750295304887331,0.765254316774542,1.277381061421834,0.9649,0.9928,2.192058838665551,2.8183119798243093
120,0.45,20,0.5,0.025,0.025,0.7790368383470844,0.765254316774542,1.8010380693615824,0.9651,0.993,2.2047371843232195,2.819368798922091
120,0.7,6,0.0,0.025,0.025,0.7781616366848985,0.765254316774542,1.6866706436573065,0.9858,0.9973,2.6047832209836086,3.335149399772634
120,0.7,6,0.5,0.025,0.025,0.786019461715035,0.765254316774542,2.7134959562221894,0.9858,0.9981,2.6443511457648827,3.3487275263281955
120,0.7,20,0.0,0.025,0.025,0.7769902884911227,0.765254316774542,1.5336041181768678,0.981,0.9964,2.495938507260602,3.199905553472638
120,0.7,20,0.5,0.025,0.025,0.7846725248155803,0.765254316774542,2.5374842866465297,0.9832,0.9964,2.5388346603305894,3.2212298227346814
400,0.2,6,0.0,0.025,0.025,0.8176482085950701,0.8142821965551897,0.4133716854083591,0.9581,0.9872,2.0192605914981243,2.4670863793164357
400,0.2,6,0.5,0.025,0.025,0.8185227363460381,0.8142821965551897,0.5207702942282122,0.9541,0.9849,2.024066400785164,2.4703131408538224
400,0.2,20,0.0,0.025,0.025,0.817826128249623,0.8142821965551897,0.43522156193833705,0.9563,0.9873,2.011484991628005,2.4570320411345303
400,0.2,20,0.5,0.025,0.025,0.8180235883643179,0.8142821965551897,0.45947115446660636,0.9544,0.9847,2.0111901755147197,2.456169417409
400,0.45,6,0.0,0.025,0.025,0.8173287830402356,0.8142821965551897,0.3741438162266686,0.9642,0.9902,2.1144940123156366,2.5844088687545197
400,0.45,6,0.5,0.025,0.025,0.8207319275093826,0.8142821965551897,0.7920756442273191,0.968,0.9906,2.1261795923360975,2.5875884091932457
400,0.45,20,0.0,0.025,0.025,0.8179266326345229,0.8142821965551897,0.44756425901866237,0.9651,0.9867,2.0861480232123584,2.5478694878319095
400,0.45,20,0.5,0.025,0.025,0.8213697369003223,0.8142821965551897,0.8704034516677783,0.9596,0.9876,2.0958122106518453,2.548699852399031
400,0.7,6,0.0,0.025,0.025,0.8182860390574974,0.8142821965551897,0.4917020805865535,0.9795,0.9948,2.3405884638673693,2.857141556522009
400,0.7,6,0.5,0.025,0.025,0.8241453435876203,0.8142821965551897,1.2112689033551893,0.9792,0.9938,2.351648411086644,2.849698833744897
400,0.7,20,0.0,0.025,0.025,0.8182432575851762,0.8142821965551897,0.4864481928677389,0.9726,0.9922,2.269507484085631,2.7704976939259383
400,0.7,20,0.5,0.025,0.025,0.8262226420434235,0.8142821965551897,1.4663768333321947,0.9746,0.9935,2.2936324634016803,2.772549168104159
